,Token,ATH date,Price,24hr change,24 hrs High,3 days High,7 days High,30 days High,24 hrs Wick High,24 hrs Volume,cmc_rank,symbol,ratings,contract_address,CATEGORY,self_reported_tags,url,ALGORITHM,OTHERS,date_added,PLATFORM,slug
333,REVU/USDT,2024-09-28,0.00955,-7.640232108317221,-8.52490421455939,-13.417951042611065,-14.195867026055705,-16.666666666666668,-8.6998087954111,36885.651378774,3034.0,REVU/USDT,3.6,['Cardano'],No tags available for this,"['PoS', 'Platform', 'DeFi', 'Payments', 'Wallet', 'DApp', 'Launchpad', 'Lending & Borrowing', 'Mobile Payment', 'Token']",https://coinmarketcap.com/currencies/revuto,No tags available for this,No tags available for this,2021-09-27,['Cardano Ecosystem'],revuto
31,ARX/USDT,2024-10-01,0.000808,5.620915032679748,-8.493771234428085,-8.493771234428085,-8.493771234428085,-25.392428439519847,-10.718232044198892,54663.0964451775,3672.0,ARX/USDT,3.6,['Ethereum'],No tags available,,https://coinmarketcap.com/currencies/arcs,No tags available,No tags available,2020-02-03,No tags available,arcs
772,MOODENG/USDT,2024-09-28,0.1049,24.732461355529132,-8.384279475982542,-8.384279475982542,-33.733417561591914,,-9.098786828422885,6881638.91654,,,,,,,,,,,,
426,MPLX/USDT,2024-09-28,0.4011,-7.587033154390252,-7.8883913193248345,-13.854942978028825,-13.854942978028825,-24.64917059608122,-7.975037856192357,228538.611855027,2386.0,MPLX/USDT,3.6,['Solana'],No tags available for this,['Solana Ecosystem'],https://coinmarketcap.com/currencies/metaplex,No tags available for this,No tags available for this,2022-09-20,['Solana Ecosystem'],metaplex
627,SLN/USDT,2024-09-27,0.2716,-7.869742198100406,-7.869742198100406,-14.077823473584303,-33.96547532214928,-54.460093896713616,-7.900983384198029,18461.49396711,,,,,,,,,,,,
285,VXV/USDT,2024-09-18,0.28,6.707317073170733,-7.864429088515952,-7.864429088515952,-7.864429088515952,-31.890051082461685,-14.867740954697476,64536.05066959,644.0,VXV/USDT,4.1,['Ethereum'],No tags available for this,,https://coinmarketcap.com/currencies/vectorspace-ai,No tags available for this,No tags available for this,2019-12-04,['Ethereum Ecosystem'],vectorspace-ai
392,FITFI/USDT,2024-10-18,0.003605,-3.454740224959823,-7.80051150895141,-7.80051150895141,-7.80051150895141,-7.80051150895141,-10.678889990089187,125029.6498751015868,730.0,FITFI/USDT,no rating found,"['Avalanche C-Chain', 'Step']","['Platform', 'Collectibles & NFTs', 'DeFi', 'DAO', 'Wallet', 'DApp', 'Yield Farming', 'Launchpad', 'DAO Maker', 'Token', 'Move To Earn']","['Health', 'Marketplace', 'Platform', 'Sports', 'AI & Big Data', 'Collectibles & NFTs', 'DeFi', 'Gaming', 'DAO', 'Wallet', 'DApp', 'Yield Farming', 'Launchpad', 'Avalanche Ecosystem', 'DAO Maker', 'Play To Earn', 'Token', 'Move To Earn']",https://coinmarketcap.com/currencies/step-app,No tags available for this,No tags available for this,2022-04-26,['Avalanche Ecosystem'],step-app
295,MONI/USDT,2024-09-28,0.00643,13.204225352112672,-7.7474892395982735,-7.7474892395982735,-7.7474892395982735,-27.426636568848757,-10.941828254847644,124666.754843781,1213.0,MONI/USDT,4.3,['BNB Smart Chain (BEP20)'],"['Collectibles & NFTs', 'Metaverse', 'Play To Earn', 'BullPerks Launchpad', 'Oxbull']",,https://coinmarketcap.com/currencies/monsta-infinite,No tags available for this,No tags available for this,2021-09-16,['BNB Chain'],monsta-infinite
704,GAME/USDT,2024-10-13,0.01455,12.790697674418608,-7.3248407643312,-15.554265815438182,-28.71141597256247,-28.71141597256247,-12.874251497005984,68520.888292,1077.0,GAME/USDT,3.9,"['BNB Smart Chain (BEP20)', 'Ethereum']","['Launchpad', 'Metaverse', 'Exnetwork Capital Portfolio']",,https://coinmarketcap.com/currencies/gamestarter,No tags available for this,No tags available for this,2021-07-12,No tags available for this,gamestarter
257,TIDAL/USDT,2024-09-28,0.000112,-7.284768211920528,-7.284768211920528,-8.868999186330354,-8.868999186330354,-23.024054982817876,-7.284768211920528,43497.52005921,1771.0,TIDAL/USDT,3.7,['Ethereum'],"['Polkastarter', 'Exnetwork Capital Portfolio', 'VBC Ventures Portfolio', 'Spartan Group']",,https://coinmarketcap.com/currencies/tidal-finance,No tags available for this,No tags available for this,2021-03-22,"['Polygon Ecosystem', 'Injective Ecosystem']",tidal-finance
